name,Shahar,Yili,"Dvigatel hajmi, l",Kuzov,Yurgani,Uzatish qutisi,Rangi,Uzatma,Kami bor,price
Chevrolet Matiz Best,Andijon,2008,1 (Gaz-benzin),Hatchback,230 000 km,Mexanika,Kumush rang,Oldi,,3500
Chevrolet Lacetti,Ellikqal'a tumani,2019,1.6 (Gaz-benzin),Sedan,70 000 km,Avtomat,Oq,Oldi,Ha,12500
Chevrolet Lacetti,Ellikqal'a tumani,2019,1.6 (Gaz-benzin),Sedan,70 000 km,Avtomat,Oq,Oldi,Ha,12500
Daewoo Matiz Creative,Andijon,2007,0.8 (Benzin),Hatchback,217 070 km,Mexanika,,Oldi,Ha,3300
Chevrolet Lacetti,Buxoro,2019,1.6 (Gaz-benzin),Sedan,23 000 km,Avtomat,Oq,Oldi,Ha,13200
Chevrolet Lacetti,Toshkent,2019,1.5 (Benzin),Sedan,61 000 km,Mexanika,,Oldi,Ha,11000
VAZ (Lada) 2101,Jarqo'rg'on tumani,1978,1.2 (Gaz),Sedan,260 000 km,Mexanika,,Oldi,Ha,1500
Daewoo Matiz Creative,Andijon,2007,0.8 (Benzin),Hatchback,217 070 km,Mexanika,Kumush rang,Oldi,Ha,3300
Chevrolet Lacetti,Dehqonobod tumani,2020,1.8 (Gaz-benzin),Sedan,17 000 km,Mexanika,,Oldi,,13850
VAZ (Lada) 2106,Toshkent,1993,1.6 (Gaz-benzin),Universal,,Mexanika,Jigarrang,Orqa,Ha,1293
Daewoo Tico,Andijon,2001,,Hatchback,,Mexanika,Kumush rang,Oldi,,2500
Chevrolet Cobalt,Buxoro,2015,1.5 (Gaz-benzin),Sedan,170 000 km,Mexanika,Mokriy asfalt,Oldi,Ha,7800
Ford Sierra,Qarshi,1984,,Sedan,,Mexanika,,Oldi,,1385
Chevrolet Lacetti,Jarqo'rg'on tumani,2019,1.8 (Gaz-benzin),Sedan,37 075 km,Mexanika,Oq,Oldi,Ha,13389
Chevrolet Nexia 2,Qarshi,2009,1.5 (Gaz),Sedan,200 000 km,Mexanika,,Oldi,,4432
VAZ (Lada) 2101,Jizzax,1984,1.6 (Gaz-benzin),Sedan,,Mexanika,,Orqa,Ha,1385
Chevrolet Spark,Toshkent,2011,1.3 (Gaz-benzin),Hatchback,540 000 km,Mexanika,Kumush rang,Oldi,,5000
Chevrolet Nexia 3,Buxoro,2020,1.5 (Benzin),Sedan,17 500 km,Avtomat,Oq,Oldi,Ha,10000
Hyundai Tucson,Toshkent,2020,2 (Benzin),Yo‘ltanlamas,70 000 km,Avtomat,,To'liq,,33000
Chevrolet Lacetti,Farg'ona,2018,1.6 (Benzin),Sedan,97 000 km,Avtomat,Oq,Oldi,Ha,11000
Chevrolet Nexia 2,Toshkent,2014,1.5 (Gaz-benzin),Sedan,140 357 km,Mexanika,Mokriy asfalt,Oldi,Ha,7500
Chevrolet Matiz,Toshkent,2013,0.8 (Benzin),Hatchback,,Mexanika,Oq,Oldi,Ha,4600
Chevrolet Matiz,Toshkent,2013,0.8 (Benzin),Hatchback,,Mexanika,Oq,Oldi,Ha,4600
Chevrolet Damas,Angor tumani,2009,,Sedan,800 000 km,Mexanika,Oq,,Ha,4801
Kia Carnival,Shovot tumani,2006,2.9 (Gaz),Yo‘ltanlamas,380 000 km,Avtomat,,Oldi,,10619
VAZ (Lada) 2107,Farg'ona,1985,,Sedan,111 111 km,Mexanika,,Orqa,,2300
BMW 520,Toshkent,1996,2 (Benzin),Sedan,518 000 km,Avtomat,Qora,Orqa,Ha,7050
Moskvich AZLK 2140,Dehqonobod tumani,1984,,Universal,29 000 km,Mexanika,,Orqa,Ha,1300
Chevrolet Lacetti,Beruniy,2015,1.8 (Gaz-benzin),Sedan,,Mexanika,Kumush rang,Oldi,Ha,9695
Chevrolet Damas,Chimboy tumani,2022,,Hatchback,,Mexanika,Oq,,,8310
Chevrolet Lacetti,Namangan,2019,1.5 (Gaz-benzin),Sedan,63 000 km,Mexanika,Oq,Oldi,Ha,11500
Ravon R2,Olmaliq,2017,1.25 (Benzin),Hatchback,100 000 km,Avtomat,Qora,,Ha,7700
UAZ 469,Samarqand,1962,,Yo‘ltanlamas,,Mexanika,Yashil,Orqa,,1385
Mercedes-Benz E 240,Toshkent,2001,2 (Gaz-benzin),Sedan,350 000 km,Mexanika,Kumush rang,Orqa,Ha,11500
Chevrolet Lacetti,Toshkent,2020,1.6 (Benzin),Sedan,40 500 km,Avtomat,Qora,Oldi,Ha,14500
Chevrolet Nexia 2,Sho'manay tumani,2016,1.6 (Gaz-benzin),Sedan,110 000 km,Mexanika,Oq,Oldi,,7387
Chevrolet Lacetti,Toshkent,2017,1.6 (Benzin),Sedan,81 500 km,Avtomat,Oq,Oldi,Ha,11100
Chevrolet Nexia 3,Toshkent,2021,1.5 (Gaz-benzin),Sedan,20 000 km,Mexanika,Mokriy asfalt,Oldi,Ha,9800
Chevrolet Labo,Toshkent,2020,2 (Gaz-benzin),Yo‘ltanlamas,75 000 km,Mexanika,Oq,Orqa,,8500
Moskvich 412,Navoiy,1982,,Sedan,,Mexanika,,Orqa,Ha,1108
Chevrolet Nexia 3,Farg'ona,2019,1.5 (Gaz-benzin),Sedan,76 000 km,Mexanika,,Oldi,,8800
Chevrolet Spark,Toshkent,2020,1.3 (Gaz-benzin),Hatchback,92 000 km,Mexanika,Oq,Oldi,,7999
Moskvich 412,Navoiy,1982,,Sedan,,Mexanika,,Orqa,Ha,1108
Chevrolet Nexia 3,Farg'ona,2019,1.5 (Gaz-benzin),Sedan,76 000 km,Mexanika,,Oldi,,8800
Chevrolet Spark,Toshkent,2020,1.3 (Gaz-benzin),Hatchback,92 000 km,Mexanika,Oq,Oldi,,7999
VAZ (Lada) 2101,Qarshi,1978,,Sedan,,Mexanika,Oq,Orqa,Ha,646
Chevrolet Nexia 3,Samarqand,2019,1.5 (Gaz-benzin),Sedan,109 km,Avtomat,,Oldi,Ha,8900
Mercedes-Benz 190,Toshkent,1991,2 (Gaz),Sedan,200 000 km,Mexanika,Mokriy asfalt,Orqa,,3500
Chevrolet Lacetti,Muzrabot tumani,2022,1.5 (Benzin),Sedan,,Mexanika,,Oldi,,13500
Chevrolet Spark,Toshkent,2018,1.3 (Benzin),Hatchback,75 000 km,Mexanika,Oq,Oldi,,7500
Chevrolet Matiz,Qarshi,2015,0.8 (Gaz-benzin),Hatchback,54 915 km,Mexanika,Oq,Oldi,,5863
Chevrolet Nexia 2,Andijon,2012,1.6 (Gaz-benzin),Sedan,344 000 km,Mexanika,Delfin,Oldi,Ha,6000
Moskvich 412,Andijon,1994,,Pikup,,Mexanika,Ko'k,Orqa,Ha,2300
Chevrolet Nexia 2,Samarqand,2013,1.6 (Benzin),Sedan,20 000 km,Mexanika,Oq,Oldi,Ha,7800
Chevrolet Lacetti,Samarqand,2015,1.6 (Benzin),Sedan,35 000 km,Avtomat,Kumush rang,Oldi,Ha,12900
Chevrolet Matiz,Andijon,2008,0.8 (Gaz-benzin),Hatchback,135 000 km,Mexanika,Kulrang,Oldi,Ha,4450
Chevrolet Lacetti,Namangan,2019,1.6 (Gaz-benzin),Sedan,82 000 km,Avtomat,Mokriy asfalt,Oldi,Ha,13500
Chevrolet Spark,Toshkent,2011,1.3 (Gaz-benzin),Hatchback,290 000 km,Mexanika,Oq,Oldi,,6200
Daewoo Matiz Creative,Samarqand,2008,0.8 (Benzin),Sedan,190 000 km,Mexanika,Oq,Oldi,,3500
Chevrolet Matiz,Sirdaryo,2010,0.8 (Gaz-benzin),Hatchback,250 000 km,Mexanika,Oq,Oldi,,4000
Chevrolet Damas,Chimboy tumani,2022,,Hatchback,,Mexanika,Oq,Orqa,,8310
Chevrolet Matiz,Toshkent,2015,0.8 (Benzin),Hatchback,58 000 km,Mexanika,Oq,Oldi,Ha,5000
Chevrolet Matiz,Toshkent,2015,0.8 (Benzin),Hatchback,58 000 km,Mexanika,Oq,Oldi,Ha,5000
Chevrolet Lacetti,Samarqand,2019,1.6 (Gaz-benzin),Sedan,85 000 km,Avtomat,Oq,Oldi,,13000
Chevrolet Lacetti,Namangan,2018,1.6 (Gaz-benzin),Sedan,69 000 km,Avtomat,Mokriy asfalt,Oldi,Ha,12500
Chevrolet Matiz Best,Andijon,2009,1 (Gaz-benzin),Hatchback,250 000 km,Mexanika,Oq,Oldi,,3400
Chevrolet Lacetti,Samarqand,2021,1.5 (Gaz-benzin),Sedan,27 000 km,Avtomat,Oq,Oldi,,14200
Chevrolet Lacetti,Toshkent,2015,1.8 (Gaz-benzin),Sedan,230 000 km,Mexanika,Kumush rang,Oldi,,9500
Chevrolet Malibu,Toshkent,2018,2.4 (Benzin),Sedan,60 000 km,Avtomat,Oq,Oldi,,24500
Chevrolet Tracker,Toshkent,2019,1.8 (Benzin),Sedan,2 000 km,Avtomat,Oq,Oldi,Ha,20000
Chevrolet Malibu,Toshkent,2022,2 (Benzin),Sedan,,Avtomat,Qora,Oldi,,36000
Chevrolet Nexia 2,To'rtko'l tumani,2014,1.5 (Gaz-benzin),Sedan,95 542 km,Mexanika,Oq,Oldi,Ha,6002
GAZ 31029 (Volga),Xiva tumani,1996,2 (Gaz-benzin),Sedan,91 000 km,Mexanika,,Orqa,Ha,2770
Daewoo Nexia,Navoiy,2008,,Sedan,200 000 km,Mexanika,Qaymoq rang,,,5540
ZAZ Forza,Zarafshon,2017,1.5 (Gaz-benzin),Hatchback,42 000 km,Mexanika,Mokriy asfalt,Oldi,Ha,7500
Chevrolet Nexia 2,Yangiyer,2013,1.6 (Gaz-benzin),Sedan,325 000 km,Mexanika,Oq,Oldi,Ha,6000
Chevrolet Matiz,Toshkent,2011,0.8 (Benzin),Hatchback,439 km,Mexanika,Qaymoq rang,Oldi,,4000
Mercedes-Benz S 350,Guliston,2007,3.5 (Benzin),Sedan,270 000 km,Avtomat,,To'liq,Ha,32000
VAZ (Lada) XRAY,Toshkent,2020,1.6 (Benzin),Hatchback,19 500 km,Avtomat,Oq,Oldi,Ha,15900
Mercedes-Benz E 550,Toshkent,2010,5.5 (Benzin),Sedan,130 000 km,Avtomat,Qora,Orqa,Ha,33600
VAZ (Lada) 2106,Namangan,1995,1.3 (Gaz-benzin),Sedan,195 000 km,Mexanika,Oq,Orqa,Ha,1800
Chevrolet Cobalt,Urganch,2022,1.5 (Benzin),Sedan,5 km,Avtomat,Oq,Oldi,Ha,12373
Chevrolet Nexia 3,Toshkent,2020,1.5 (Gaz-benzin),Sedan,16 500 km,Mexanika,Oq,Oldi,,9400
Toyota Land Cruiser,Buxoro,1995,4.2 (Dizel),Yo‘ltanlamas,221 823 km,Mexanika,Kumush rang,To'liq,Ha,18000
Chevrolet Matiz,Toshkent,2008,0.8 (Gaz-benzin),Hatchback,203 000 km,Mexanika,Kumush rang,Oldi,Ha,5000
Chevrolet Spark,Toshkent,2019,1.3 (Gaz-benzin),Hatchback,285 000 km,Mexanika,Oq,Oldi,Ha,7000
Tofas Dogan,Toshkent,1993,1.5 (Benzin),Sedan,,Mexanika,Sariq,Orqa,Ha,1300
Chevrolet Lacetti,Toshkent,2015,1.8 (Gaz-benzin),Sedan,99 000 km,Mexanika,Qizil,Oldi,,9000
Chevrolet Lacetti,Farg'ona,2009,1.8 (Gaz-benzin),Sedan,380 km,Mexanika,Oq,Oldi,Ha,7000
ZAZ Forza,Farg'ona,2016,1.5 (Gaz-benzin),Sedan,118 000 km,Mexanika,Oq,Oldi,Ha,5300
Chevrolet Cruze,Toshkent,2009,1.8 (Benzin),Sedan,,Avtomat,,Oldi,Ha,13500
Chevrolet Matiz Best,Toshkent,2010,,Sedan,392 184 km,Mexanika,,,Ha,4000
Chevrolet Nexia 2,Toshkent,2009,1.6 (Benzin),Sedan,232 000 km,Mexanika,Kumush rang,Oldi,Ha,4999
Chevrolet Lacetti,Toshkent,2016,1.8 (Benzin),Sedan,123 000 km,Avtomat,Delfin,Oldi,,10000
Daewoo Gentra,Toshkent,2018,2 (Gaz-benzin),Sedan,59 773 km,Avtomat,,Oldi,,14774
VAZ (Lada) 2102,Toshkent,1978,,Furgon,11 948 km,Mexanika,Ko'k-xavorang,Oldi,Ha,1200
Chevrolet Damas,Samarqand,2019,,Sedan,76 000 km,Mexanika,,Orqa,,6900
Chevrolet Matiz,Toshkent,2007,0.8 (Benzin),Hatchback,297 000 km,Mexanika,Kulrang,Oldi,,3300
Daewoo Damas,Muzrabot tumani,1999,,Miniven,5 km,Mexanika,Oq,Orqa,Ha,4247
Chevrolet Cobalt,Shahrisabz,2020,1.5 (Benzin),Sedan,30 600 km,Avtomat,Oq,Oldi,Ha,11600
Chevrolet Lacetti,Farg'ona,2019,1.6 (Gaz-benzin),Sedan,90 000 km,Mexanika,Oq,Oldi,Ha,11000
Chevrolet Cobalt,Toshkent,2013,1.5 (Gaz-benzin),Sedan,172 000 km,Mexanika,Oq,Oldi,Ha,9000
Chevrolet Cobalt,Toshkent,2013,1.5 (Gaz-benzin),Sedan,172 000 km,Mexanika,Oq,Oldi,Ha,9000
Toyota Estima,Toshkent,2007,2.4 (Gaz-benzin),Universal,170 000 km,Avtomat,Kumush rang,Oldi,Ha,17500
Chevrolet Cobalt,Samarqand,2022,1.5 (Benzin),Sedan,5 km,Avtomat,,Oldi,,12000
Toyota Corolla,Toshkent,1984,1.5 (Gaz-benzin),Hatchback,400 000 km,Mexanika,Oq,Oldi,Ha,2400
Chevrolet Lacetti,Toshkent,2019,1.6 (Benzin),Sedan,50 000 km,Avtomat,Mokriy asfalt,Oldi,,13000
Chevrolet Nexia 3,Toshkent,2018,1.5 (Gaz-benzin),Sedan,59 000 km,Avtomat,Oq,Oldi,,9500
Chevrolet Matiz,Toshkent,2006,0.8 (Gaz-benzin),Hatchback,250 000 km,Mexanika,Kulrang,Oldi,Ha,3200
Chevrolet Lacetti,Toshkent,2020,1.6 (Benzin),Sedan,60 000 km,Avtomat,Mokriy asfalt,Oldi,Ha,12600
Chevrolet Lacetti,Toshkent,2019,1.5 (Gaz-benzin),Sedan,33 500 km,Mexanika,Oq,Oldi,Ha,11499
Daewoo Nexia,Jizzax,2007,1.5 (Gaz-benzin),Sedan,185 000 km,Mexanika,,Oldi,Ha,4800
Mercedes-Benz E 200,Toshkent,1997,2 (Benzin),Sedan,370 km,Avtomat,Xameleon,Orqa,,10000
Chevrolet Lacetti,Toshkent,2022,1.6 (Benzin),Sedan,250 km,Avtomat,Qora,Oldi,Ha,15100
Chevrolet Spark,Toshkent,2020,1.3 (Benzin),Hatchback,14 000 km,Avtomat,Oq,Oldi,,9000
VAZ (Lada) Largus,Kitob tumani,2021,1.6 (Gaz-benzin),Universal,41 000 km,Mexanika,Qora,Oldi,Ha,16159
Chevrolet Damas,Nukus,2021,1.2 (Gaz-benzin),Universal,24 000 km,Mexanika,Oq,Orqa,,8310
Daewoo Matiz Creative,Toshkent,2008,,Hatchback,150 000 km,Avtomat,Delfin,Oldi,Ha,4000
VAZ (Lada) Priora,Toshkent,2008,1.6 (Benzin),,195 000 km,Mexanika,Kumush rang,Oldi,,3800
Daewoo Leganza,Namangan,1998,1.8 (Gaz-benzin),Sedan,600 000 km,Mexanika,Oq,Oldi,Ha,5900
Daewoo Nexia,Toshkent,1998,1.4 (Gaz-benzin),Sedan,655 000 km,Mexanika,,Oldi,Ha,3800
VAZ (Lada) Samara (hatchback 2109),Jizzax,1987,1.5 (Gaz-benzin),Hatchback,585 000 km,Mexanika,,Oldi,Ha,2308
Chevrolet Matiz,Xiva tumani,2011,0.8 (Benzin),Hatchback,90 km,Mexanika,Kumush rang,Oldi,,3509
Ravon R4,To'rtko'l tumani,2018,1.5 (Gaz-benzin),Sedan,40 000 km,Mexanika,Oq,Oldi,Ha,10500
Chevrolet Malibu 2,Nukus,2020,1.5 (Benzin),Sedan,35 200 km,Avtomat,Qora,Oldi,Ha,29317
VAZ (Lada) Samara 2 (hatchback 2114),Jizzax,2007,1.5 (Gaz-benzin),Hatchback,350 000 km,Mexanika,Kulrang,Oldi,,3500
Chevrolet Equinox,Guliston,2021,2 (Benzin),Krossover,34 300 km,Avtomat,Mokriy asfalt,To'liq,,33000
VAZ (Lada) XRAY,Qarshi,2018,1.6 (Benzin),Hatchback,50 000 km,Mexanika,Oq,Oldi,,11600
Honda FCX Clarity,Toshkent,2018,1.5 (Gibrid),Sedan,55 000 km,Variator,Qora,,Ha,32000
Chevrolet Cobalt,Toshkent,2022,1.5 (Gaz-benzin),Sedan,2 337 km,Avtomat,Sadaf-jigarrang,Oldi,Ha,12550
Chevrolet Lacetti,Qarshi,2013,1.8 (Gaz-benzin),Sedan,177 000 km,Avtomat,Delfin,Oldi,Ha,10900
Chevrolet Nexia 3,Toshkent,2018,1.5 (Benzin),Sedan,33 000 km,Mexanika,Oq,Oldi,Ha,9200
Chevrolet Malibu,Jarqo'rg'on tumani,2020,2.4 (Benzin),Sedan,34 000 km,Avtomat,,Oldi,,29500
VAZ (Lada) 2106,Farg'ona,1984,,Hatchback,420 km,Mexanika,Kulrang,To'liq,,2031
Chevrolet Lacetti,Toshkent,2012,1.8 (Gaz-benzin),Sedan,231 000 km,Mexanika,Delfin,Oldi,Ha,7500
Chevrolet Matiz Best,Toshkent,2017,1 (Gaz-benzin),Hatchback,307 000 km,Mexanika,Oq,Oldi,,5000
Chevrolet Suburban,Toshkent,2018,5.5 (Benzin),Universal,48 600 km,Avtomat,Qora,To'liq,Ha,71500
Chevrolet Lacetti,Ohangaron,2015,1.8 (Gaz-benzin),Sedan,125 000 km,Mexanika,Oq,Oldi,Ha,10700
Daewoo Nexia,Qarshi,2002,1.5 (Gaz-benzin),Sedan,160 000 km,Mexanika,Kulrang,Oldi,Ha,4200
Chevrolet Lacetti,Toshkent,2020,1.6 (Benzin),Sedan,46 000 km,Avtomat,Qora,Oldi,Ha,15400
Chevrolet Malibu,Andijon,2020,2 (Benzin),Sedan,33 000 km,Avtomat,Oq,Oldi,Ha,29300
Chevrolet Matiz,Toshkent,2010,0.8 (Benzin),Hatchback,330 000 km,Mexanika,Oq,Oldi,Ha,3900
Chevrolet Malibu,Andijon,2020,2 (Benzin),Sedan,33 000 km,Avtomat,Oq,Oldi,Ha,29300
Chevrolet Matiz,Toshkent,2010,0.8 (Benzin),Hatchback,330 000 km,Mexanika,Oq,Oldi,Ha,3900
Chevrolet Captiva,Termiz,2013,3.2 (Gaz-benzin),Krossover,,Avtomat,,To'liq,,16500
Chevrolet Labo,Farg'ona,2021,1.3 (Benzin),Sedan,41 km,Mexanika,Oq,Oldi,Ha,8500
Chevrolet Spark,Chirchiq,2020,1.25 (Benzin),Hatchback,20 000 km,Mexanika,Oq,Oldi,,8200
Chevrolet Spark,Toshkent,2016,1.3 (Benzin),Hatchback,88 000 km,Avtomat,Oq,Oldi,,8200
Daewoo Tico,Marg'ilon,1997,0.8 (Benzin),Hatchback,628 000 km,Mexanika,Oq,Oldi,Ha,2300
VAZ (Lada) 2107,Toshkent,2007,0.8 (Gaz-benzin),Sedan,250 000 km,Mexanika,Oq,Orqa,Ha,4000
Chevrolet Cobalt,Angren,2013,1.5 (Benzin),Sedan,250 000 km,Avtomat,Delfin,Oldi,Ha,8500
Chevrolet Lacetti,Toshkent,2022,1.6 (Benzin),Sedan,,Avtomat,Oq,Oldi,,14174
Chevrolet Cobalt,Toshkent,2022,1.5 (Benzin),Sedan,,Avtomat,Oq,Oldi,,11615
Chevrolet Spark,Toshkent,2017,1.3 (Gaz-benzin),Hatchback,240 000 km,Mexanika,Oq,Oldi,,6600
VAZ (Lada) Samara (hatchback 2109),Quyichirchiq tumani,1994,1.5 (Gaz-benzin),Hatchback,111 111 km,Mexanika,Qizil,Oldi,Ha,1600
BMW 318i,Navoiy,1991,1.6 (Benzin),Sedan,240 000 km,Mexanika,Qora,Orqa,,4000
Chevrolet Labo,Samarqand,2011,,Furgon,205 000 km,Mexanika,,Orqa,Ha,7300
Jetour X70 Plus,Qarshi,2021,1.6 (Benzin),Yo‘ltanlamas,9 000 km,Avtomat,Qora,Oldi,Ha,42500
Chevrolet Spark,Toshkent,2021,1.3 (Benzin),Hatchback,37 000 km,Mexanika,Oq,Oldi,,8250
Chevrolet Lacetti,Farg'ona,2015,1.5 (Gaz-benzin),Sedan,80 000 km,Mexanika,Delfin,Oldi,Ha,10000
Chevrolet Lacetti,Urganch,2022,1.8 (Benzin),Sedan,5 km,Mexanika,Mokriy asfalt,Oldi,,13112
Chevrolet Lacetti,Termiz,2018,1.5 (Benzin),Sedan,155 000 km,Mexanika,Oq,Oldi,Ha,10800
Chevrolet Lacetti,Termiz,2018,1.5 (Benzin),Sedan,155 000 km,Mexanika,Oq,Oldi,Ha,10800
VAZ (Lada) Vesta,Jizzax,2019,1.8 (Gaz-benzin),Universal,100 000 km,Mexanika,,,Ha,12500
Chevrolet Damas,Toshkent,2013,,Yo‘ltanlamas,470 000 km,Mexanika,,Orqa,Ha,6000
Daewoo Labo,Jizzax,2019,,Pikup,116 000 km,Mexanika,Oq,Orqa,,7000
Chevrolet Lacetti,Toshkent,2013,1.8 (Benzin),Sedan,49 000 km,Mexanika,Oq,Oldi,Ha,10500
Chevrolet Spark,Toshkent,2016,1.3 (Benzin),Hatchback,87 000 km,Mexanika,Oq,Oldi,Ha,7200
Chevrolet Nexia 2,Toshkent,2012,1.5 (Gaz-benzin),Sedan,162 000 km,Mexanika,Oq,Oldi,Ha,5750
Chevrolet Lacetti,Toshkent,2018,1.5 (Benzin),Sedan,104 000 km,Avtomat,Mokriy asfalt,Oldi,,11300
Ravon R2,Toshkent,2018,1.3 (Benzin),Hatchback,118 000 km,Avtomat,,Oldi,,8000
Hyundai Tucson,Toshkent,2020,2 (Benzin),Hatchback,24 000 km,Avtomat,Qora,To'liq,Ha,33000
VAZ (Lada) Niva 5-ta eshikli,Nukus,2021,1.7 (Benzin),Yo‘ltanlamas,7 000 km,Mexanika,,To'liq,,12004
Chevrolet Lacetti,Jomboy tumani,2015,1.5 (Gaz-benzin),Sedan,120 000 km,Mexanika,Oq,Oldi,Ha,10200
Chevrolet Nexia 3,Toshkent,2020,1.5 (Gaz-benzin),Sedan,58 000 km,Mexanika,Oq,Oldi,,9200
Chevrolet Cobalt,O‘rtachirchiq tumani,2020,1.5 (Gaz-benzin),Sedan,61 000 km,Mexanika,Oq,Oldi,Ha,10900
Chevrolet Nexia 3,Guliston,2018,,Sedan,68 000 km,Mexanika,Oq,,Ha,8300
Chevrolet Spark,Toshkent,2016,1.3 (Gaz-benzin),Hatchback,235 000 km,Mexanika,Oq,Oldi,,7000
Chevrolet Damas,Qo'qon,2021,0.8 (Gaz-benzin),Miniven,30 000 km,Mexanika,Oq,Oldi,,8500
Chevrolet Lacetti,Samarqand,2022,1.6 (Benzin),Sedan,,Avtomat,Qora,Oldi,,15400
Chevrolet Spark,Farg'ona,2019,1.3 (Gaz-benzin),Hatchback,110 000 km,Mexanika,Oq,Oldi,,8100
Chevrolet Matiz Best,Farg'ona,2010,1 (Benzin),Hatchback,116 886 km,Mexanika,Qora,Oldi,,4300
Chevrolet Cobalt,Jizzax,2020,1.5 (Gaz-benzin),Sedan,39 000 km,Mexanika,Kumush rang,Oldi,,10896
Chevrolet Matiz,Toshkent,2009,0.8 (Benzin),Hatchback,162 000 km,Mexanika,Kulrang,Oldi,Ha,3693
Chevrolet Cobalt,Toshkent,2019,1.5 (Benzin),Sedan,47 700 km,Avtomat,Oq,Oldi,Ha,10650
Chevrolet Lacetti,Samarqand,2017,1 (Gaz-benzin),Sedan,99 000 km,Avtomat,Oq,Oldi,Ha,11500
Chevrolet Spark,Toshkent,2015,1.3 (Benzin),Hatchback,130 000 km,Mexanika,Oq,Oldi,Ha,6700
Chevrolet Nexia 2,Toshkent,2015,1.6 (Gaz-benzin),Sedan,222 000 km,Mexanika,Oq,Oldi,Ha,7000
Chevrolet Lacetti,Farg'ona,2019,1.6 (Gaz-benzin),Sedan,36 000 km,Avtomat,Oq,Oldi,Ha,13100
Chevrolet Captiva,Toshkent,2011,3.2 (Gaz-benzin),Krossover,170 000 km,Avtomat,Qora,To'liq,Ha,15700
Chevrolet Nexia 3,Toshkent,2020,1.5 (Gaz-benzin),Sedan,110 000 km,Avtomat,Delfin,Oldi,Ha,9511
Chevrolet Lacetti,Toshkent,2022,1.5 (Benzin),Sedan,150 km,Avtomat,Qaymoq rang,Oldi,Ha,14404
Chevrolet Tracker,Toshkent,2019,1.8 (Benzin),Hatchback,70 000 km,Avtomat,Olcha,,Ha,15235
Chevrolet Lacetti,Toshkent,2022,1.5 (Benzin),Sedan,12 800 km,Avtomat,Oq,Oldi,Ha,15051
Chevrolet Tracker,Toshkent,2020,1 (Benzin),Hatchback,13 900 km,Avtomat,Ko'k,Oldi,Ha,21422
Chevrolet Malibu,Farg'ona,2012,2.4 (Gaz-benzin),Sedan,116 600 km,Avtomat,Qora,Oldi,Ha,16000
Chevrolet Lacetti,Toshkent,2021,1.6 (Benzin),Sedan,9 000 km,Avtomat,Qora,Oldi,,15000
Chevrolet Spark,Toshkent,2017,1.3 (Benzin),Hatchback,104 000 km,Mexanika,Mokriy asfalt,Oldi,,7000
Chevrolet Cobalt,Buxoro,2022,1.5 (Benzin),Sedan,,Avtomat,Oq,Oldi,Ha,12373
Daewoo Tico,Mingbuloq tumani,1997,,Hatchback,169 300 km,Mexanika,Kumush rang,,Ha,2124
Chevrolet Lacetti,Toshkent,2015,1.5 (Gaz-benzin),Sedan,450 283 km,Mexanika,Ko'k,Oldi,Ha,9000
Daewoo Nexia,Qamashi tumani,2000,6 (Benzin),Sedan,233 333 km,Mexanika,Ko'k-xavorang,Orqa,Ha,3232
Daewoo Nexia,Qamashi tumani,2000,6 (Benzin),Sedan,233 333 km,Mexanika,Ko'k-xavorang,Orqa,Ha,3232
Chevrolet Labo,Qamashi tumani,2022,1.3 (Benzin),Pikup,,Mexanika,,Orqa,Ha,8380
Chevrolet Spark,Toshkent,2019,1.3 (Benzin),Hatchback,41 790 km,Mexanika,Sadaf-jigarrang,Oldi,Ha,8300
Chevrolet Nexia 2,Toshkent,2014,1.5 (Benzin),Universal,237 000 km,Mexanika,Ko'k,Oldi,Ha,5355
Chevrolet Tracker,Zarafshon,2019,1.8 (Benzin),Krossover,23 000 km,Avtomat,Saxara (qum rang),Oldi,,18467
Chevrolet Cobalt,Toshkent,2015,1.5 (Gaz-benzin),Sedan,170 200 km,Avtomat,Mokriy asfalt,Oldi,Ha,8800
Chevrolet Lacetti,Urganch tumani,2021,1.8 (Benzin),Sedan,16 600 km,Mexanika,Oq,Oldi,,11542
Chevrolet Damas,Toshkent,2018,1 (Benzin),Furgon,84 000 km,Mexanika,Oq,,Ha,6500
Chevrolet Spark,Termiz,2020,1.3 (Gaz-benzin),Hatchback,60 600 km,Mexanika,Oq,Oldi,,8600
Daewoo Matiz (Standart),Toshkent,2009,,Sedan,83 000 km,Mexanika,To'q qizil,Oldi,Ha,3600
Chevrolet Cobalt,Toshkent,2015,1.5 (Benzin),Sedan,165 000 km,Avtomat,Delfin,Oldi,Ha,8900
Chevrolet Spark,Toshkent,2020,1.3 (Benzin),Hatchback,48 000 km,Avtomat,Oq,Oldi,,9000
Chevrolet Lacetti,Toshkent,2020,1.5 (Benzin),Sedan,53 000 km,Avtomat,Oq,Oldi,,13000
Chevrolet Nexia 3,Toshkent,2019,1.5 (Benzin),Sedan,40 000 km,Mexanika,Oq,Oldi,,8300
Chevrolet Cruze,Samarqand,2009,1.6 (Benzin),Sedan,220 000 km,Avtomat,Kumush rang,,Ha,8900
VAZ (Lada) Granta,Toshkent,2014,1.6 (Benzin),Hatchback,97 000 km,Mexanika,,To'liq,Ha,5800
Chevrolet Tacuma,Andijon,2007,1.6 (Gaz-benzin),Miniven,250 000 km,Mexanika,Oq,Oldi,Ha,6500
